"","x"
"1",0.713001087627214
"2",0.823677365389723
"3",0.844986967569563
"4",0.891953768909147
"5",0.424530002705799
"6",5.03204058790619e-117
"7",0.705488369440992
"8",1.10055679829461e-62
"9",0.715950001968644
"10",0.868112431134314
"11",0.984730301681648
"12",0.263680009200646
"13",0.896432216789225
"14",4.9331775342921e-216
"15",0.957565964205842
"16",0.898982059955431
"17",0.976466001694929
"18",0.779889329463503
"19",0.781109459852098
"20",0.990464721120751
"21",0.824334438036917
"22",6.72740783466492e-182
"23",0.68419110705629
"24",0.711905144164803
"25",0.852353097476962
"26",2.21095639194186e-199
"27",0.0806450747292061
"28",1
"29",0.856336480540622
"30",0.80766981113353
"31",0.789985308184058
"32",0.641101419394088
"33",4.00273826247214e-217
"34",0.754694873924849
"35",0.764730771784473
"36",0.572470668410902
"37",2.40533665044471e-37
"38",0.565005768385138
"39",0.923442856526875
"40",0.799612132377717
"41",0.944543652772968
"42",0.661500446409788
"43",0.484624106618609
"44",0.974503638465609
"45",0.63166411300788
"46",2.71417820331028e-168
"47",0.849580006080704
"48",0.722628331911189
"49",0.326771141242262
"50",0.57922351857245
"51",0.803250960702203
"52",0.193415584857573
"53",0.315754149178486
"54",0.549431992374588
"55",0.710196308753248
"56",0.747313052169907
"57",0.854245311627814
"58",0.910760364327501
"59",0.991848589942304
"60",0.873656799162873
"61",0.770342971383963
"62",1.31121362670762e-189
"63",6.97292602051146e-16
"64",0.592180981998348
"65",0.720141685943857
"66",0.890870806095329
"67",1
"68",0.849503945886637
"69",1.75359827532357e-16
"70",0.974710646617191
"71",0.524213176135494
"72",0.831920482752937
"73",0.466816081360104
"74",3.57096244993155e-176
"75",1.15805423790435e-62
"76",0.99711107936572
"77",0.89051456892745
"78",0.968079430063541
"79",0.297216932557574
"80",0.545083029242139
"81",1
"82",0.93709749792268
"83",3.32105863409445e-45
"84",0.889357294092616
"85",0.712591761111029
"86",0.377483557884935
"87",0.528399346737617
"88",0.182214354569271
"89",0.583469528055921
"90",0.790594557329137
"91",4.98546615964677e-46
"92",0.629083352419582
"93",0.513388732034775
"94",0.319171253176903
"95",8.47071886677797e-156
"96",0.903445315962171
"97",0.571174010518181
"98",0.712314556676382
"99",0.492374667140849
"100",0.895762774662248
"101",0.925461962668416
"102",6.85464449832058e-16
"103",0.500351187316908
"104",0.984587725741732
"105",0.579543141381193
"106",0.971893009429523
"107",6.13741762671932e-210
"108",2.0569517975184e-207
"109",0.682422025283343
"110",0.805245064703008
"111",0.909438056243157
"112",4.00905451804201e-141
"113",0.971802694942875
"114",0.84407678924409
"115",0.807063065503093
"116",0.228661698581329
"117",0.499395474846115
"118",0.999148313448056
"119",0.45455985313216
"120",7.49753042889839e-173
"121",1.03119116079638e-216
"122",1.71884951059463e-195
"123",0.839862308208381
"124",0.818504168955
"125",0.456285918842427
"126",0.776829290732235
"127",0.920467546644215
"128",0.805977778823695
"129",0.686190676955961
"130",0.670353864882125
"131",0.892203458748222
"132",0.731359319932135
"133",1.28445846382379e-192
"134",0.692315574263328
"135",5.23727910260744e-192
"136",1.20566268587059e-64
"137",1
"138",2.12344919476169e-134
"139",0.81235199685162
"140",0.801004246486599
"141",0.848220042062401
"142",3.39392136276668e-24
"143",0.372289618068072
"144",0.782397198940247
"145",0.690462857421587
"146",0.805726556266559
"147",0.469624794145693
"148",0.498083062624294
"149",0.982686422769419
"150",0.731439834873059
"151",5.98276162090909e-108
"152",1.35117877940888e-194
"153",3.69768331628326e-181
"154",0.870043983409731
"155",0.586242345339408
"156",0.398415020188653
"157",3.84126983859672e-169
"158",0.646459959520194
"159",0.334671846770189
"160",0.981348656324273
"161",0.523083399549467
"162",0.0451066292960192
"163",0.846203725629006
"164",0.0351372953233559
"165",0.84612705228585
"166",0.676888299556155
"167",0.631881096750796
"168",0.676111543487317
"169",0.824999805866325
"170",3.49540130536757e-197
"171",0.0516709584436908
"172",7.69327230812234e-84
"173",0.719120107755506
"174",0.92024048358242
"175",0.757869669056437
"176",0.810930484307285
"177",0.837163240174482
"178",0.81551561858056
"179",0.492940759025545
"180",0.732493428893558
"181",0.665013527921505
"182",0.279894139597456
"183",0.79642401815647
"184",0.00853686416585843
"185",2.01235323212881e-204
"186",0.639683268858559
"187",0.792175632702125
"188",0.765341718426529
"189",0.839357716108474
"190",7.30704329171639e-182
"191",0.581029403017906
"192",0.802321835178414
"193",0.781356822866599
"194",0.690986595088548
"195",0.847217678671129
"196",0.552397948565238
"197",0.855129021595667
"198",9.62489036947794e-172
"199",0.79954047905063
"200",0.936586834865891
"201",0.882397955920995
"202",0.71231443304935
"203",1.90427403761657e-43
"204",0.0577883398057297
"205",0.658708409299968
"206",1
"207",1.83317183483918e-216
"208",1
"209",0.60119955600139
"210",2.86094360946373e-208
"211",0.95879899747965
"212",1.60227482738215e-155
"213",0.799669856923525
"214",0.970951332542515
"215",0.925319929376507
"216",0.757153829300089
"217",0.760749968513344
"218",0.619482842829193
"219",0.525581992199901
"220",0.522477141672697
"221",0.438151941139527
"222",0.50789474963645
"223",0.491427069370075
"224",1.26292447508475e-188
"225",0.52375146330095
"226",0.821539521333077
"227",0.489265019110438
"228",2.0347181891367e-106
"229",0.580453707360604
"230",0.675481651177637
"231",0.0763273657309518
"232",0.943462378824251
"233",0.977981104231626
"234",0.621501549216001
"235",0.816028817318079
"236",0.958332265208161
"237",0.771931259050637
"238",0.223563714934871
"239",0.717697399777038
"240",1
"241",0.6867503897519
"242",0.772643637294611
"243",0.625240163379346
"244",0.0440976027929127
"245",0.884363598216928
"246",0.693003714590002
"247",8.76349817035759e-98
"248",0.976648690932128
"249",9.91835406218306e-215
"250",0.673866509668575
"251",7.50055941914288e-218
"252",0.936621318651501
"253",2.18959001909867e-17
"254",0.998516421416593
"255",0.762878304621954
"256",0.562863742811531
"257",0.547191383652596
"258",0.643680577657641
"259",0.855932868211484
"260",0.81737421058231
"261",8.53655399786736e-18
"262",0.780010766533734
"263",0.0298072376847404
"264",0.103386758427685
"265",0.80764863469267
"266",0.116070759087645
"267",0.472204202516681
"268",0.0478653984517588
"269",0.575617069101226
"270",0.281410668196896
"271",0.84895376588392
"272",0.993075234911069
"273",1.10055766349502e-187
"274",0.830438856163234
"275",0.745809828374645
"276",0.233834125432112
"277",0.967075107585966
"278",0.887994176798828
"279",0.911019967620429
"280",0.93896252110058
"281",1.60155517446083e-16
"282",0.453609484820877
"283",0.558239712718877
"284",0.565983576146913
"285",0.698799562318906
"286",3.15450678069549e-206
"287",0.920270951062013
"288",0.0282893818165628
"289",0.327605263900732
"290",0.67338700486482
"291",0.478424263490079
"292",3.31148946920214e-216
"293",0.709778591174456
"294",0.606234850267906
"295",0.717416402301766
"296",0.252183220360006
"297",0.628995965059508
"298",0.680870607059792
"299",0.558845121969271
"300",0.2514856400243
"301",0.738582142259525
"302",0.69355013750171
"303",0.45046833176489
"304",0.872812030392152
"305",0.102140961250761
"306",0.839574758971255
"307",0.815743065295596
"308",9.62558230324438e-185
"309",0.620252447425448
"310",0.673021003771859
"311",0.659152058261598
"312",0.590426286233637
"313",0.760601712740891
"314",0.951914760817121
"315",0.808249915162869
"316",0.418660363480545
"317",1
"318",0.286640281291384
"319",0.765591380582744
"320",3.00172816490476e-192
"321",0.875767378776252
"322",0.524499881448003
"323",0.358622934060964
"324",0.797510961678869
"325",2.50692074160392e-210
"326",0.735986082882126
"327",0.721301654449889
"328",3.22150326128952e-200
"329",1.1077170974147e-19
"330",0.827256036348994
"331",0.663438786251931
"332",0.789430343891249
"333",8.51956296133107e-17
"334",0.951384875670338
"335",0.384265263369708
"336",0.476809775911742
"337",1
"338",0.872746324357416
"339",0.828254852159393
"340",0.71872500517352
"341",0.810052563856642
"342",0.588832537199758
"343",0.377222954778073
"344",0.762347949143759
"345",5.15649856622124e-39
"346",0.969010635126681
"347",9.78648331408369e-214
"348",0.298818147264043
"349",2.78541254073371e-58
"350",0.424496555708764
"351",0.813904857598519
"352",0.739377199961415
"353",0.650203903524901
"354",0.305921060552183
"355",0.111729256079843
"356",0.224008170146687
"357",0.847998156355911
"358",0.986569388588678
"359",0.64157880907323
"360",0.5825782902094
"361",0.214426151745619
"362",0.791876091257419
"363",0.85547468611346
"364",0.661735412412461
"365",0.311179472983476
"366",0.509893367303377
"367",0.434769851848519
"368",0.969410960122427
"369",0.730748910855167
"370",0.575383103493797
"371",0.95394280176568
"372",0.614309715266961
"373",0.332637951542029
"374",0.393856512505764
"375",0.801908049717592
"376",1.19244902899459e-23
"377",1.12321562088988e-15
"378",0.475192901278276
"379",1.31353442084452e-88
"380",0.794093995457206
"381",0.984707167153148
"382",0.658903679031764
"383",0.478288130699823
"384",0.864712431577376
"385",0.977383508321072
"386",0.694034087340952
"387",0.840274893453046
"388",9.99158645709776e-204
"389",0.708288332485673
"390",0.68789481957264
"391",0.702239203891083
"392",1.12322466837687e-15
"393",0.76305769504711
"394",0.274790430340655
"395",0.951435069191745
"396",0.756527403732135
"397",0.695835012684967
"398",0.974725966517887
"399",2.45991096488703e-196
"400",0.925627421601883
"401",1.72125046553981e-128
"402",0.651469326727847
"403",0.882605643152255
"404",0.519619280973412
"405",7.16017431945717e-16
"406",0.885331205178685
"407",1.25892867888765e-187
"408",0.881924336882258
"409",0.752652024598813
"410",0.517655820513649
"411",2.06709257283496e-209
"412",0.973672191363714
"413",0.0115468605514051
"414",0.435310438963348
"415",0.746082245676879
"416",0.750917171816044
"417",0.671386600402815
"418",0.899159828608051
"419",0.385086456405598
"420",0.485035718948709
"421",9.0891219712556e-102
"422",0.670616985012191
"423",0.647309399237396
"424",0.386222520765003
"425",0.420375562286357
"426",0.863482808536514
"427",0.694938811875255
"428",0.907724762985759
"429",0.724275794800056
"430",0.896990364136496
"431",0.65356176734554
"432",0.658094635942862
"433",0.858430035458399
"434",0.905480526924594
"435",0.604476476792857
"436",0.97231964692012
"437",0.614795515618178
"438",0.64353003718548
"439",2.80546453415486e-127
"440",0.855040072666197
"441",0.964610751721448
"442",0.860317503809094
"443",0.512192207173042
"444",0.777435734327984
"445",0.466340410983839
"446",0.0225559807867161
"447",2.31742726093202e-150
"448",0.695404120804291
"449",0.757143657085036
"450",0.992448093621796
"451",0.407799807865186
"452",0.70400272660465
"453",0.936209838669978
"454",0.27555124260125
"455",0.621305919991117
"456",0.793737567445198
"457",0.722939726289322
"458",0.587623527422791
"459",0.716578412273685
"460",0.708113325639446
"461",1
"462",0.92030043657007
"463",3.96785513963734e-206
"464",0.983367648796552
"465",0.721383562148988
"466",0.692213900959991
"467",0.510893971560672
"468",0.827622256325909
"469",0.157722068800378
"470",0.857304158766286
"471",0.755153351210912
"472",0.884565378629874
"473",0.339285566318859
"474",0.274825276903356
"475",0.289904644294304
"476",0.789203380268181
"477",9.95730998095867e-166
"478",0.87866568031483
"479",0.414911546548723
"480",3.06699279615786e-78
"481",0.916296471640347
"482",0.26924544543593
"483",0.998158245661236
"484",0.780998565513926
"485",0.569459966067028
"486",0.283853329897591
"487",0.152254117553798
"488",0.424751583803169
"489",6.95217080072565e-45
"490",8.79241998444976e-15
"491",0.617509948213187
"492",0.975385441347435
"493",0.958510096308418
"494",0.783939616625598
"495",0.600756218406253
"496",0.925025307898238
"497",0.152042702160751
"498",7.11033511367575e-108
"499",0.565720485913413
"500",0.545771513899274
